Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Mount Waverley,3,h,PI,Harcourts,14.2,3149.0,3.0,1.0,0.0,,,,Monash City Council,-37.86659,145.14182,Eastern Metropolitan,13366.0,1300000
Fawkner,4,h,S,hockingstuart,12.4,3060.0,4.0,2.0,2.0,647.0,,,Hume City Council,-37.7089,144.9695,Northern Metropolitan,5070.0,771000
Cheltenham,2,u,PI,Buxton,17.9,3192.0,,,,,,,Bayside City Council,,,Southern Metropolitan,9758.0,690000
Footscray,2,h,S,Jas,6.4,3011.0,2.0,1.0,0.0,267.0,99.5,1890.0,Maribyrnong City Council,-37.7961,144.89,Western Metropolitan,7570.0,885000
Carnegie,2,t,S,C21,10.1,3163.0,2.0,1.0,1.0,292.0,,,Glen Eira City Council,-37.89431,145.05902,Southern Metropolitan,7822.0,817500
Altona,3,h,S,Barlow,13.8,3018.0,3.0,1.0,2.0,724.0,,,Hobsons Bay City Council,-37.8672,144.817,Western Metropolitan,5301.0,980000
West Footscray,3,h,S,Biggin,8.2,3012.0,3.0,1.0,3.0,334.0,,,Maribyrnong City Council,-37.7916,144.8762,Western Metropolitan,5058.0,890000
Ivanhoe,4,h,S,Miles,7.9,3079.0,4.0,2.0,1.0,1250.0,,,Banyule City Council,-37.7639,145.0506,Eastern Metropolitan,5549.0,3020000
Hampton,5,h,S,hockingstuart,13.7,3188.0,5.0,3.0,2.0,694.0,323.0,2011.0,Bayside City Council,-37.9372,145.0101,Southern Metropolitan,5454.0,2980000
Elwood,2,u,S,Chisholm,7.7,3184.0,2.0,1.0,1.0,0.0,85.0,1940.0,Port Phillip City Council,-37.874,144.9903,Southern Metropolitan,8989.0,730000
Burwood East,4,h,S,Barry,14.7,3151.0,4.0,2.0,2.0,599.0,120.0,1960.0,Whitehorse City Council,-37.848,145.14165,Eastern Metropolitan,4048.0,1032000
Keysborough,4,h,S,Buxton,25.2,3173.0,4.0,2.0,2.0,560.0,305.0,2005.0,Greater Dandenong City Council,-38.00512,145.14935,South-Eastern Metropolitan,8459.0,1250000
Watsonia North,4,h,S,Jellis,14.5,3087.0,4.0,2.0,5.0,975.0,231.0,1980.0,Banyule City Council,-37.70214,145.08703,Northern Metropolitan,1442.0,1405000
Ivanhoe,3,h,S,Miles,7.9,3079.0,3.0,1.0,1.0,614.0,,,Banyule City Council,-37.7768,145.0409,Eastern Metropolitan,5549.0,1796000
Montmorency,4,h,S,Buckingham,16.2,3094.0,4.0,2.0,,1098.0,143.0,1985.0,Banyule City Council,-37.71817,145.13411,Eastern Metropolitan,3891.0,885000
Toorak,2,u,PI,The,4.1,3142.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7217.0,550000
Brunswick West,2,u,S,Peter,5.9,3055.0,2.0,1.0,1.0,0.0,69.0,1960.0,Moreland City Council,-37.768,144.9408,Northern Metropolitan,7082.0,521500
Balwyn North,3,t,VB,hockingstuart,9.7,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0,1270000
Glenroy,4,h,PI,Barry,13.0,3046.0,4.0,2.0,8.0,977.0,304.0,1935.0,Moreland City Council,-37.7063,144.9273,Northern Metropolitan,8870.0,1000000
Cheltenham,3,h,VB,Buxton,17.9,3192.0,3.0,1.0,1.0,604.0,137.0,1955.0,Bayside City Council,-37.97307,145.05446,Southern Metropolitan,9758.0,1250000
Lalor,4,h,S,Melbourne,16.3,3075.0,4.0,2.0,5.0,541.0,110.0,1980.0,Whittlesea City Council,-37.66276,145.03074,Northern Metropolitan,8279.0,766000
Craigieburn,3,h,S,Barry,20.6,3064.0,,,,250.0,,,Hume City Council,-37.59889,144.89668,Northern Metropolitan,15510.0,438000
Werribee,4,h,S,hockingstuart,14.7,3030.0,4.0,2.0,2.0,556.0,177.0,2001.0,Wyndham City Council,-37.89463,144.66857,Western Metropolitan,16166.0,621000
Mordialloc,3,t,S,Buxton,21.5,3195.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3650.0,722000
Frankston,2,u,S,O'Brien,38.0,3199.0,,,,,,,Frankston City Council,,,South-Eastern Metropolitan,17055.0,400000
Mulgrave,3,h,S,Ray,18.8,3170.0,3.0,2.0,2.0,197.0,132.0,2005.0,Monash City Council,-37.92285,145.18549,South-Eastern Metropolitan,7113.0,755000
Doncaster,3,h,PI,Fletchers,13.9,3108.0,3.0,2.0,2.0,900.0,195.0,1970.0,Manningham City Council,-37.7902,145.1344,Eastern Metropolitan,9028.0,1250000
Croydon,4,h,S,Hoskins,23.0,3136.0,4.0,2.0,2.0,880.0,225.0,1970.0,Maroondah City Council,-37.79587,145.2683,Eastern Metropolitan,11925.0,932000
Coburg,2,u,VB,Brad,6.7,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11204.0,460000
Brighton,2,u,S,Hodges,11.2,3186.0,2.0,1.0,1.0,90.0,74.0,1960.0,Bayside City Council,-37.9122,145.0038,Southern Metropolitan,10579.0,800000
Malvern East,3,t,S,Abercromby's,11.2,3145.0,3.0,2.0,2.0,323.0,204.0,,Stonnington City Council,-37.8704,145.0411,Southern Metropolitan,8801.0,1370000
Ascot Vale,5,h,S,Nelson,5.9,3032.0,5.0,2.0,2.0,521.0,,,Moonee Valley City Council,-37.7778,144.9261,Western Metropolitan,6567.0,1905000
Melton South,3,h,S,hockingstuart,29.8,3338.0,3.0,2.0,2.0,,143.0,1975.0,Melton City Council,-37.70223,144.57816,Western Victoria,4718.0,477500
Carnegie,3,h,S,Buxton,10.1,3163.0,,,,,,,Glen Eira City Council,-37.90056,145.06313,Southern Metropolitan,7822.0,885000
Caulfield North,1,u,S,hockingstuart,7.8,3161.0,1.0,1.0,1.0,60.0,53.0,1975.0,Glen Eira City Council,-37.87972,145.03351,Southern Metropolitan,6923.0,361000
Essendon,2,u,S,Nelson,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0,627000
Doncaster,3,t,S,hockingstuart,13.9,3108.0,3.0,2.0,2.0,118.0,106.0,2013.0,Manningham City Council,-37.7863,145.106,Eastern Metropolitan,9028.0,746000
Kew,2,t,S,Nelson,5.6,3101.0,2.0,1.0,1.0,0.0,,1980.0,Boroondara City Council,-37.8094,145.0446,Southern Metropolitan,10331.0,672000
Brighton,3,t,S,Buxton,11.2,3186.0,3.0,2.0,2.0,352.0,,,Bayside City Council,-37.9139,145.0035,Southern Metropolitan,10579.0,1750000
Bellfield,2,h,S,Barry,9.5,3081.0,2.0,1.0,0.0,693.0,,,Banyule City Council,-37.7534,145.0454,Eastern Metropolitan,790.0,855000
Wheelers Hill,4,h,S,Jellis,16.7,3150.0,4.0,2.0,2.0,733.0,,,Monash City Council,-37.91293,145.20079,South-Eastern Metropolitan,7392.0,1272000
Ivanhoe,5,h,S,Nelson,7.9,3079.0,5.0,2.0,2.0,633.0,,,Banyule City Council,-37.7615,145.0309,Eastern Metropolitan,5549.0,1689000
Reservoir,2,u,PI,Morrison,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,440000
Sunshine,3,h,SP,Melbourne,12.6,3020.0,3.0,1.0,3.0,534.0,,,Brimbank City Council,-37.7801,144.8412,Western Metropolitan,3755.0,725000
Reservoir,3,h,S,Nelson,11.2,3073.0,3.0,1.0,1.0,370.0,,,Darebin City Council,-37.719,144.9971,Northern Metropolitan,21650.0,600000
Wheelers Hill,4,h,S,Barry,16.7,3150.0,4.0,2.0,2.0,732.0,210.0,1980.0,Monash City Council,-37.8943,145.18588,South-Eastern Metropolitan,7392.0,1540000
St Kilda,2,u,VB,Buxton,5.0,3182.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240.0,460000
Glen Waverley,3,h,S,Stockdale,16.7,3150.0,3.0,1.0,0.0,984.0,,,Monash City Council,-37.87376,145.15238,Eastern Metropolitan,15321.0,2450000
South Yarra,3,h,S,hockingstuart,3.3,3141.0,3.0,1.0,1.0,211.0,18.0,1906.0,Melbourne City Council,-37.8442,144.9928,Southern Metropolitan,14887.0,1810000
Blackburn North,4,h,S,Barry,13.4,3130.0,4.0,3.0,2.0,605.0,184.0,1965.0,Whitehorse City Council,-37.80394,145.16754,Eastern Metropolitan,2867.0,980000
Carnegie,3,u,SP,Steller,10.1,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822.0,783000
Princes Hill,3,h,VB,Nelson,3.5,3054.0,3.0,2.0,2.0,111.0,,,Yarra City Council,-37.77976,144.96862,Northern Metropolitan,1008.0,1150000
Hoppers Crossing,3,h,S,Barry,18.4,3029.0,3.0,2.0,2.0,460.0,121.0,1990.0,Wyndham City Council,-37.87263,144.66732,Western Metropolitan,13830.0,520000
Prahran,3,h,S,Jellis,4.5,3181.0,3.0,2.0,0.0,146.0,139.0,1900.0,Stonnington City Council,-37.8519,145.0055,Southern Metropolitan,7717.0,1612000
Ivanhoe,2,u,S,Miles,7.9,3079.0,2.0,1.0,1.0,0.0,,,Banyule City Council,-37.759,145.047,Eastern Metropolitan,5549.0,450000
Avondale Heights,4,h,S,Moonee,10.5,3034.0,4.0,2.0,4.0,585.0,,1960.0,Moonee Valley City Council,-37.757,144.8566,Western Metropolitan,4502.0,890000
Newport,3,h,SP,Sweeney,8.4,3015.0,3.0,1.0,0.0,344.0,130.0,1920.0,Hobsons Bay City Council,-37.8424,144.8754,Western Metropolitan,5498.0,891500
Richmond,4,h,VB,Jellis,2.6,3121.0,4.0,1.0,0.0,254.0,124.0,1890.0,Yarra City Council,-37.8201,144.9898,Northern Metropolitan,14949.0,950000
Wheelers Hill,4,h,S,Barry,16.7,3150.0,4.0,2.0,2.0,652.0,,1981.0,Monash City Council,-37.90562,145.16761,South-Eastern Metropolitan,7392.0,1245000
Niddrie,3,h,SP,Brad,10.4,3042.0,3.0,1.0,1.0,345.0,111.0,1950.0,Moonee Valley City Council,-37.73901,144.89154,Western Metropolitan,2291.0,845000
Bayswater,2,t,S,Philip,23.2,3153.0,,,,,,,Knox City Council,,,Eastern Metropolitan,5030.0,646000
Dingley Village,3,h,S,Buxton,22.2,3172.0,3.0,1.0,1.0,533.0,,,Kingston City Council,-37.986,145.1213,South-Eastern Metropolitan,3940.0,880000
Boronia,4,h,S,Barry,25.0,3155.0,4.0,2.0,4.0,730.0,,,Knox City Council,-37.8587,145.2585,Eastern Metropolitan,9704.0,878000
Langwarrin,3,h,S,C21,41.0,3910.0,,,,,,,Frankston City Council,,,Eastern Victoria,8743.0,500000
South Yarra,1,u,S,hockingstuart,3.3,3141.0,1.0,1.0,1.0,0.0,56.0,1970.0,Melbourne City Council,-37.8368,144.9848,Southern Metropolitan,14887.0,567500
Moorabbin,3,h,S,Ray,14.6,3189.0,3.0,1.0,1.0,593.0,115.0,1960.0,Kingston City Council,-37.9431,145.0484,Southern Metropolitan,2555.0,960000
Port Melbourne,1,h,S,Chisholm,3.8,3207.0,3.0,1.0,0.0,151.0,,,Melbourne City Council,-37.835,144.9444,Southern Metropolitan,8648.0,1014000
Frankston South,4,h,S,hockingstuart,38.0,3199.0,4.0,2.0,2.0,937.0,191.0,1960.0,Frankston City Council,-38.15845,145.11141,South-Eastern Metropolitan,7566.0,980000
Thornbury,2,t,PI,McGrath,7.0,3071.0,2.0,2.0,1.0,,,,Darebin City Council,-37.75946,145.01712,Northern Metropolitan,8870.0,750000
Keilor East,3,h,S,Bells,12.8,3033.0,3.0,1.0,1.0,565.0,125.0,1970.0,Brimbank City Council,-37.7498,144.8585,Western Metropolitan,5629.0,600000
Balwyn,3,h,S,Jellis,9.7,3103.0,4.0,2.0,2.0,650.0,,,Boroondara City Council,-37.8167,145.0797,Southern Metropolitan,5682.0,2950000
Yarraville,3,h,S,Sweeney,7.0,3013.0,3.0,1.0,1.0,503.0,,,Maribyrnong City Council,-37.8159,144.8626,Western Metropolitan,6543.0,960000
Fawkner,3,h,S,Brad,13.1,3060.0,3.0,2.0,1.0,,98.0,1960.0,Hume City Council,-37.70687,144.97027,Northern Metropolitan,5070.0,482000
Bentleigh East,3,h,PI,Greg,13.9,3165.0,3.0,1.0,1.0,598.0,,,Glen Eira City Council,-37.9129,145.0786,Southern Metropolitan,10969.0,950000
Maribyrnong,2,u,S,Biggin,4.3,3032.0,2.0,1.0,1.0,4977.0,79.0,2000.0,Maribyrnong City Council,-37.77367,144.88161,Western Metropolitan,4918.0,353000
Footscray,1,u,SP,Jas,5.1,3011.0,1.0,1.0,1.0,,50.0,2015.0,Maribyrnong City Council,-37.79975,144.88368,Western Metropolitan,7570.0,373000
Deer Park,3,h,PI,Barry,14.8,3023.0,3.0,1.0,2.0,697.0,135.0,1955.0,Brimbank City Council,-37.77396,144.77229,Western Metropolitan,6388.0,650000
Bellfield,3,h,S,Nelson,9.5,3081.0,3.0,1.0,1.0,666.0,,,Banyule City Council,-37.7509,145.0423,Eastern Metropolitan,790.0,885000
Essendon West,4,t,VB,Nelson,7.5,3040.0,4.0,3.0,1.0,182.0,157.0,2015.0,Moonee Valley City Council,-37.75156,144.886,Western Metropolitan,588.0,800000
St Kilda,2,u,S,Buxton,5.0,3182.0,2.0,1.0,1.0,3093.0,,,Port Phillip City Council,-37.86506,144.97777,Southern Metropolitan,13240.0,586500
Hawthorn,2,u,S,Biggin,5.3,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,670000
Coburg,2,t,S,Ray,7.8,3058.0,2.0,1.0,1.0,97.0,95.0,2014.0,Darebin City Council,-37.7516,144.9623,Northern Metropolitan,11204.0,635000
Burwood,2,u,S,Noel,11.7,3125.0,2.0,1.0,1.0,81.0,,1965.0,Monash City Council,-37.8495,145.0999,Southern Metropolitan,5678.0,605000
Footscray,3,h,S,Sweeney,6.4,3011.0,3.0,2.0,0.0,458.0,98.0,1930.0,Maribyrnong City Council,-37.7942,144.8832,Western Metropolitan,7570.0,767500
Bentleigh East,3,t,S,Buxton,13.9,3165.0,3.0,2.0,2.0,327.0,,,Glen Eira City Council,-37.9195,145.0555,Southern Metropolitan,10969.0,1030000
Ringwood North,4,h,S,Philip,19.9,3134.0,4.0,2.0,2.0,1019.0,,,Manningham City Council,-37.8004,145.23257,Eastern Metropolitan,3619.0,1283000
Richmond,2,u,PI,Biggin,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,520000
Hoppers Crossing,3,h,S,hockingstuart,18.4,3029.0,3.0,1.0,1.0,,115.0,1992.0,Wyndham City Council,-37.86412,144.68347,Western Metropolitan,13830.0,512000
Eltham,4,h,S,Jellis,18.0,3095.0,4.0,2.0,2.0,573.0,180.0,1980.0,Banyule City Council,-37.70477,145.16552,Eastern Metropolitan,6990.0,762000
Caulfield North,2,u,S,Gary,8.1,3161.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6923.0,576000
Hampton,2,u,S,Buxton,13.7,3188.0,2.0,1.0,1.0,90.0,90.0,1962.0,Bayside City Council,-37.9354,144.9994,Southern Metropolitan,5454.0,860000
Maidstone,3,t,S,Biggin,6.4,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3873.0,800000
Werribee,3,h,SP,YPA,14.7,3030.0,3.0,2.0,2.0,1025.0,195.0,1970.0,Wyndham City Council,-37.90188,144.65138,Western Metropolitan,16166.0,830000
Mernda,3,h,S,RW,25.9,3754.0,3.0,2.0,1.0,336.0,,,Whittlesea City Council,-37.60419,145.08172,Northern Metropolitan,5812.0,508000
Craigieburn,3,h,S,Ray,20.6,3064.0,3.0,2.0,1.0,758.0,119.0,1985.0,Hume City Council,-37.59312,144.93182,Northern Metropolitan,15510.0,615000
Essendon,2,h,S,Brad,7.5,3040.0,2.0,1.0,2.0,,,1930.0,Moonee Valley City Council,-37.74327,144.89237,Western Metropolitan,9264.0,1355000
Mount Waverley,3,h,S,Ray,14.2,3149.0,3.0,2.0,2.0,660.0,133.0,1960.0,Monash City Council,-37.86198,145.139,Eastern Metropolitan,13366.0,1406000
Craigieburn,4,h,S,Ray,20.6,3064.0,4.0,2.0,2.0,350.0,168.0,2011.0,Hume City Council,-37.57532,144.91332,Northern Metropolitan,15510.0,580000
Flemington,1,h,VB,Nelson,4.4,3031.0,1.0,1.0,1.0,0.0,,,Melbourne City Council,-37.7854,144.9326,Northern Metropolitan,3593.0,250000
Ashwood,4,h,S,Buxton,12.2,3147.0,4.0,2.0,2.0,526.0,,,Monash City Council,-37.8661,145.1013,Southern Metropolitan,2894.0,1510000
Carlton,2,h,S,Nelson,1.6,3053.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,6786.0,956000
Essendon,4,h,PI,Nelson,7.5,3040.0,4.0,3.0,6.0,,288.0,1910.0,Moonee Valley City Council,-37.74954,144.9229,Western Metropolitan,9264.0,2800000
Werribee,3,h,S,YPA,14.7,3030.0,3.0,1.0,1.0,454.0,,,Wyndham City Council,-37.88178,144.66125,Western Metropolitan,16166.0,430000
Albanvale,3,h,SP,Sweeney,14.0,3021.0,3.0,1.0,3.0,566.0,126.0,1980.0,Brimbank City Council,-37.74306,144.76679,Western Metropolitan,1899.0,555000
Mordialloc,4,t,S,hockingstuart,21.5,3195.0,4.0,2.0,2.0,312.0,179.0,2004.0,Kingston City Council,-38.002,145.08916,South-Eastern Metropolitan,3650.0,1170000
McKinnon,3,t,S,Buxton,11.4,3204.0,3.0,2.0,2.0,283.0,165.0,1995.0,Glen Eira City Council,-37.90718,145.03193,Southern Metropolitan,2397.0,1312000
Ringwood,4,h,SP,Barry,19.9,3134.0,4.0,2.0,3.0,780.0,,,Maroondah City Council,-37.7892,145.2496,Eastern Metropolitan,7785.0,965800
Toorak,1,u,S,Jellis,4.6,3142.0,1.0,1.0,1.0,0.0,35.0,1967.0,Stonnington City Council,-37.8464,145.0074,Southern Metropolitan,7217.0,366000
Glen Iris,3,h,S,Purplebricks,7.3,3146.0,3.0,1.0,2.0,717.0,,,Boroondara City Council,-37.85918,145.083,Southern Metropolitan,10412.0,1688000
Windsor,2,h,S,Jellis,5.1,3181.0,2.0,1.0,2.0,0.0,96.0,1928.0,Port Phillip City Council,-37.8518,144.9868,Southern Metropolitan,4380.0,1500000
Craigieburn,4,h,S,Ray,20.6,3064.0,4.0,2.0,2.0,349.0,140.0,2013.0,Hume City Council,-37.56828,144.90385,Northern Metropolitan,15510.0,520000
Mount Waverley,4,h,SP,Harcourts,14.2,3149.0,4.0,2.0,1.0,688.0,238.0,1965.0,Monash City Council,-37.87164,145.12466,Eastern Metropolitan,13366.0,1530000
MacLeod,3,h,S,Barry,12.7,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,4168.0,740000
Preston,2,t,SP,Nelson,8.4,3072.0,2.0,1.0,1.0,,100.0,2009.0,Darebin City Council,-37.74981,145.01341,Northern Metropolitan,14577.0,761000
Ferntree Gully,4,h,S,Noel,24.8,3156.0,4.0,2.0,2.0,,,,Knox City Council,-37.87514,145.27433,Eastern Metropolitan,10788.0,960000
Avondale Heights,4,h,S,Moonee,10.5,3034.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,4502.0,990000
Forest Hill,4,h,VB,Noel,15.4,3131.0,4.0,1.0,1.0,607.0,,1960.0,Whitehorse City Council,-37.84137,145.17912,Eastern Metropolitan,4385.0,950000
Carnegie,2,u,SP,Woodards,11.4,3163.0,2.0,1.0,1.0,73.0,61.0,1970.0,Glen Eira City Council,-37.897,145.0593,Southern Metropolitan,7822.0,600000
Spotswood,3,u,SP,McGrath,6.2,3015.0,3.0,2.0,2.0,205.0,,,Hobsons Bay City Council,-37.82978,144.88463,Western Metropolitan,1223.0,882000
Footscray,3,u,S,Rendina,5.1,3011.0,3.0,1.0,2.0,4096.0,,,Maribyrnong City Council,-37.8021,144.9075,Western Metropolitan,7570.0,605000
South Melbourne,2,h,PI,Greg,2.1,3205.0,2.0,2.0,1.0,141.0,150.0,1900.0,Port Phillip City Council,-37.8389,144.9612,Southern Metropolitan,5943.0,2000000
Hampton,3,h,S,Hodges,13.7,3188.0,3.0,1.0,2.0,495.0,,,Bayside City Council,-37.9428,145.0092,Southern Metropolitan,5454.0,1403000
Watsonia North,4,h,S,Barry,14.5,3087.0,4.0,1.0,3.0,541.0,145.0,1960.0,Banyule City Council,-37.69778,145.08516,Northern Metropolitan,1442.0,710000
Ivanhoe,4,h,S,Marshall,7.9,3079.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,5549.0,1950000
Hawthorn,2,u,S,Marshall,5.3,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,725000
Airport West,3,t,S,Brad,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,700000
Moorabbin,4,h,VB,McGrath,14.6,3189.0,4.0,3.0,2.0,443.0,4.0,,Kingston City Council,-37.9371,145.0578,Southern Metropolitan,2555.0,930000
Oakleigh South,4,h,S,Woodards,14.7,3167.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3692.0,991000
Mont Albert,3,h,S,Marshall,11.8,3127.0,3.0,2.0,2.0,624.0,,,Boroondara City Council,-37.8203,145.1105,Eastern Metropolitan,2079.0,1587000
Carlton North,3,h,S,Nelson,3.2,3054.0,3.0,1.0,0.0,169.0,,,Melbourne City Council,-37.7821,144.9753,Northern Metropolitan,3106.0,1540000
Thornbury,2,h,S,Nelson,7.0,3071.0,,,,,,,Darebin City Council,,,Northern Metropolitan,8870.0,597000
Niddrie,2,u,S,Barry,11.2,3042.0,2.0,2.0,1.0,217.0,113.0,2006.0,Moonee Valley City Council,-37.7465,144.8868,Western Metropolitan,2291.0,660000
Coburg,3,h,SP,Nelson,7.8,3058.0,3.0,2.0,1.0,417.0,178.0,1940.0,Darebin City Council,-37.7478,144.9583,Northern Metropolitan,11204.0,1064000
Bentleigh East,3,t,S,McGrath,13.8,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0,1303000
Carlton,4,h,S,Woodards,1.6,3053.0,4.0,1.0,2.0,316.0,,,Melbourne City Council,-37.80229,144.9679,Northern Metropolitan,6786.0,3825000
Ringwood,3,h,S,Fletchers,19.9,3134.0,3.0,1.0,0.0,,,,Maroondah City Council,-37.81772,145.22708,Eastern Metropolitan,7785.0,1180000
Brighton East,2,u,S,Hodges,10.7,3187.0,2.0,1.0,2.0,157.0,,,Bayside City Council,-37.911,145.0236,Southern Metropolitan,6938.0,770000
Richmond,2,u,PI,Ray,2.6,3121.0,2.0,1.0,1.0,7455.0,65.0,2008.0,Yarra City Council,-37.822,145.0104,Northern Metropolitan,14949.0,560000
Essendon,3,h,S,Rendina,7.5,3040.0,3.0,2.0,1.0,276.0,149.0,1910.0,Moonee Valley City Council,-37.75126,144.89558,Western Metropolitan,9264.0,1320000
Brunswick,3,t,VB,Nelson,5.2,3056.0,3.0,2.0,1.0,,,,Moreland City Council,-37.75766,144.96415,Northern Metropolitan,11918.0,870000
Ascot Vale,2,u,S,Brad,5.9,3032.0,2.0,1.0,1.0,0.0,,,Moonee Valley City Council,-37.7728,144.9169,Western Metropolitan,6567.0,690000
Bellfield,3,h,SP,Nelson,9.5,3081.0,3.0,1.0,2.0,631.0,109.0,1950.0,Banyule City Council,-37.7506,145.043,Eastern Metropolitan,790.0,645000
Briar Hill,4,h,S,Nelson,16.1,3088.0,4.0,3.0,3.0,1061.0,312.0,1960.0,Banyule City Council,-37.70591,145.13005,Eastern Metropolitan,1390.0,1030000
Sandringham,3,h,S,Charlton,15.2,3191.0,3.0,2.0,2.0,520.0,,,Bayside City Council,-37.95003,145.01033,Southern Metropolitan,4497.0,1755000
Braybrook,3,h,S,Douglas,8.6,3019.0,3.0,2.0,2.0,650.0,,,Maribyrnong City Council,-37.79037,144.84742,Western Metropolitan,3589.0,850000
Fawkner,3,h,S,Nelson,12.4,3060.0,2.0,1.0,2.0,701.0,,,Hume City Council,-37.7054,144.963,Northern Metropolitan,5070.0,643000
Northcote,2,h,S,Jellis,5.5,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0,1153000
Brighton East,3,h,S,RT,10.7,3187.0,,,,,,,Bayside City Council,,,Southern Metropolitan,6938.0,930000
Bulleen,3,h,S,Barry,11.8,3105.0,3.0,1.0,1.0,701.0,,,Manningham City Council,-37.7729,145.098,Eastern Metropolitan,4480.0,980000
Brighton East,3,h,VB,Buxton,10.3,3187.0,,,,,,,Bayside City Council,,,Southern Metropolitan,6938.0,1700000
Doncaster,4,u,S,Barry,12.4,3108.0,4.0,2.0,2.0,493.0,,,Manningham City Council,-37.78457,145.10453,Eastern Metropolitan,9028.0,885000
Box Hill,4,h,S,Noel,13.1,3128.0,4.0,4.0,4.0,707.0,162.0,1926.0,Whitehorse City Council,-37.8166,145.1354,Eastern Metropolitan,4605.0,1670000
Avondale Heights,4,h,VB,Barry,9.5,3034.0,4.0,2.0,3.0,648.0,,,Moonee Valley City Council,-37.75167,144.86603,Western Metropolitan,4502.0,1100000
Collingwood,2,u,SP,Jellis,2.0,3066.0,2.0,2.0,1.0,,85.0,2005.0,Yarra City Council,-37.80896,144.9911,Northern Metropolitan,4553.0,565000
Ivanhoe East,5,h,PI,Jellis,9.0,3079.0,5.0,3.0,2.0,737.0,325.0,2008.0,Banyule City Council,-37.7794,145.0647,Eastern Metropolitan,1554.0,2325000
Prahran,1,u,S,hockingstuart,4.6,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,592000
McKinnon,5,h,S,Hodges,11.4,3204.0,5.0,2.0,2.0,904.0,,,Glen Eira City Council,-37.91074,145.03068,Southern Metropolitan,2397.0,2300000
Maribyrnong,1,u,PI,Brad,8.7,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0,260000
Reservoir,2,h,S,Ray,12.0,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,480000
Doncaster East,3,u,S,Ray,14.3,3109.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,10999.0,780000
Southbank,2,u,VB,Marshall,1.2,3006.0,2.0,2.0,1.0,0.0,110.0,2000.0,Melbourne City Council,-37.8273,144.9556,Southern Metropolitan,8400.0,650000
South Morang,4,h,S,HAR,20.5,3752.0,4.0,2.0,2.0,517.0,,2013.0,Whittlesea City Council,-37.61894,145.06873,Northern Metropolitan,7969.0,774000
Cairnlea,4,h,PI,Sweeney,14.8,3023.0,4.0,2.0,2.0,638.0,270.18,2009.0,Brimbank City Council,-37.76189,144.78517,Western Metropolitan,2674.0,821000
Glen Iris,3,t,S,Jellis,9.2,3146.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412.0,1155000
Balaclava,1,u,VB,hockingstuart,6.6,3183.0,1.0,1.0,1.0,0.0,,,Port Phillip City Council,-37.8733,144.997,Southern Metropolitan,2952.0,280000
North Melbourne,2,h,S,Nelson,1.8,3051.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,6821.0,1470000
Berwick,4,h,SP,C21,35.2,3806.0,4.0,2.0,2.0,687.0,,,Casey City Council,-38.02434,145.33117,Eastern Victoria,17093.0,627500
Yallambie,4,h,S,Barry,15.0,3085.0,4.0,2.0,1.0,592.0,,,Banyule City Council,-37.728,145.1017,Northern Metropolitan,1369.0,793000
Coburg,2,h,S,Jellis,7.8,3058.0,2.0,1.0,3.0,457.0,89.0,1940.0,Darebin City Council,-37.7505,144.9725,Northern Metropolitan,11204.0,1008000
Fitzroy North,2,h,PI,Nelson,3.6,3068.0,2.0,2.0,,,,,Moreland City Council,-37.78374,144.98202,Northern Metropolitan,6244.0,1380000
